"Gene_name"	"GO_terms"
"cwc15"	"GO:0005681, GO:0000398, GO:0005681, GO:0000398, GO:0005634, GO:0003723, GO:0006397, GO:0008380, GO:0071013, GO:0045292, GO:0071007"
"otol1"	"GO:0005515, GO:0005576, GO:0005615, GO:0005201, GO:0030198, GO:0031012, GO:0005581, "
"slc9b2"	"GO:0015299, GO:0006812, GO:0055085, GO:0006814, GO:0016021, GO:0016020, GO:1902600"
"dip2c"	"GO:0003824, GO:0003824, GO:0003824"
"mbnl1"	"GO:0046872, GO:0005634, GO:0005737, GO:0003723, GO:0005654, GO:0000381"
"sptssb"	"GO:0016020, GO:0016021, GO:0005783, GO:0005789, GO:0006629, GO:0007029, GO:0030148, GO:0046513, GO:1904220, GO:0004758, GO:0006665, GO:0017059"
"ecel1"	"GO:0007218, GO:0004222, GO:0008237, GO:0006508, GO:0016020, GO:0016021"
"fam167b"	""
"fam32a"	"GO:0005634, GO:0007049, GO:0005730, GO:0006915"
"sinhcaf"	"GO:0016580, GO:0030336"
"nmd3"	"GO:0043023, GO:0005634, GO:0005737, GO:0015031"
"lck"	"GO:0005524, GO:0004672, GO:0006468, GO:0004713, GO:0005515, GO:0005102, GO:0016740, GO:0000166, GO:0004715, GO:0016301, GO:0016310, GO:0007169, GO:0030154, GO:0031234, GO:0030217, GO:0050853, GO:0038083"
"cplane2"	"GO:0005525, GO:0003924"
"gzmh"	"GO:0006508, GO:0004252, GO:0016787, GO:0008233, GO:0008236"
"cisd2"	"GO:0043231, GO:0051537, GO:0016020, GO:0016021"
"sv2a"	"GO:0007268, GO:0005215, GO:0022857, GO:0055085, GO:0016020, GO:0016021, GO:0043005, GO:0030672"
"wnt3"	"GO:0016055, GO:0007275, GO:0005102, GO:0005576, GO:0005109, GO:0030182, GO:0045165, GO:0005615"
"slc13a3"	"GO:0005215, GO:0055085, GO:0006814, GO:0016020, GO:0016021, GO:0015137, GO:0015141, GO:0017153, GO:0006835, GO:0015746, GO:0071422, GO:0005215, GO:0055085, GO:0006814, GO:0016020, GO:0016021, GO:0015137, GO:0015141, GO:0017153, GO:0006835, GO:0015746, GO:0071422"
"ube2d3"	"GO:0016740, GO:0000166, GO:0005524, GO:0031625, GO:0061631, GO:0006511, GO:0000151, GO:0016567"
"ntn1"	"GO:0005515, GO:0005576, GO:0005515, GO:0005576, GO:0005515, GO:0005576, GO:0016358, GO:0021952, GO:0021960, GO:0030516, GO:0071678"
"nrip3"	"GO:0006508, GO:0004190"
"gna15"	"GO:0001664, GO:0031683, GO:0019001, GO:0007165, GO:0003924, GO:0007186, GO:0000166, GO:0005525, GO:0005834, GO:0007188, GO:0060158"
"plaa"	"GO:0043161, GO:0043130, GO:0005515, GO:0005634, GO:0005737, GO:0010992"
"endod1"	"GO:0016787, GO:0046872, GO:0003676, GO:0016020, GO:0016021"
"alk"	"GO:0048666, GO:0016310, GO:0000187, GO:0007169, GO:0004714, GO:0007165, GO:0005524, GO:0004672, GO:0006468, GO:0004713, GO:0016020, GO:0005515, GO:0016021, GO:0005887, GO:0018108, GO:0043235, GO:0045664, GO:0042127"
